t,x,y,z,vx,vy,vz,ox,oy,oz,wx,wy,wz
0.08297162,-0.3162913,0.18285078,0.8011652,0.74979764,-5.158769,-2.3616009,7.197832,-0.0033605713,-31.901558,1.3915795,-2.1479635,-0.24928375
0.08414023,-0.316288,0.18281966,0.8011621,0.74979395,-5.158699,-2.361593,7.197159,-0.0033620992,-31.901148,1.3914831,-2.1473286,-0.24927603
0.08530885,-0.3162846,0.1827861,0.80115813,0.74979025,-5.158634,-2.3615866,7.196488,-0.003363602,-31.900747,1.3913839,-2.1466823,-0.24926764
0.086477466,-0.31628132,0.18275371,0.8011549,0.7497864,-5.158566,-2.3615792,7.195811,-0.0033650924,-31.900354,1.3912855,-2.1460423,-0.24925978
0.087646075,-0.31627804,0.18272224,0.8011518,0.74978286,-5.1584997,-2.361572,7.195152,-0.0033665458,-31.899982,1.3911883,-2.1454074,-0.2492521
0.08881469,-0.31627476,0.18269,0.80114853,0.74977875,-5.158437,-2.3615649,7.1944876,-0.0033680724,-31.899593,1.39109,-2.1447706,-0.2492442
0.08998331,-0.31627154,0.18265763,0.801146,0.7497754,-5.158371,-2.3615577,7.193821,-0.0033694971,-31.899216,1.390992,-2.1441338,-0.24923632
0.09115192,-0.31626824,0.18262812,0.8011416,0.74977165,-5.1583056,-2.3615506,7.193166,-0.003370984,-31.898838,1.3908939,-2.1435068,-0.24922854
0.09232053,-0.3162651,0.18259668,0.8011384,0.7497683,-5.1582403,-2.3615434,7.192518,-0.0033723202,-31.898453,1.3907961,-2.142875,-0.24922112
0.09348915,-0.31626177,0.18256652,0.8011356,0.7497648,-5.158177,-2.3615363,7.191862,-0.0033737451,-31.898094,1.3906975,-2.142248,-0.24921365
0.094657764,-0.31625873,0.18253565,0.80113226,0.7497609,-5.158114,-2.36153,7.1912217,-0.0033751575,-31.89772,1.3905989,-2.1416209,-0.24920563
0.09582638,-0.3162557,0.18250519,0.80112946,0.74975747,-5.1580467,-2.361523,7.190582,-0.0033765275,-31.89735,1.3905003,-2.140994,-0.24919854
0.096994996,-0.31625247,0.18247569,0.80112666,0.7497539,-5.157986,-2.361516,7.189937,-0.0033779,-31.896996,1.3904021,-2.1403735,-0.2491909
0.098163605,-0.3162494,0.18244475,0.8011232,0.74975073,-5.1579175,-2.36151,7.1893067,-0.0033792728,-31.89664,1.3903023,-2.139745,-0.24918343
0.09933222,-0.3162463,0.1824145,0.8011207,0.74974686,-5.1578603,-2.361502,7.188675,-0.0033806288,-31.896275,1.390205,-2.1391213,-0.24917568
0.10050084,-0.31624323,0.18238524,0.80111766,0.7497434,-5.1578007,-2.3614957,7.1880484,-0.0033820255,-31.895937,1.3901058,-2.138504,-0.24916828
0.10166945,-0.3162401,0.18235561,0.8011141,0.74974006,-5.157738,-2.3614888,7.187435,-0.0033834353,-31.895586,1.3900062,-2.1378818,-0.24916086
0.10283806,-0.31623718,0.18232527,0.8011115,0.7497364,-5.157667,-2.3614821,7.1868134,-0.0033847396,-31.895231,1.3899089,-2.1372604,-0.24915339
0.10400668,-0.31623402,0.18229744,0.80110854,0.749733,-5.1576104,-2.3614755,7.186202,-0.0033860593,-31.89489,1.38981,-2.1366494,-0.24914636
0.105175294,-0.31623107,0.18226808,0.80110574,0.7497296,-5.1575527,-2.3614686,7.1855845,-0.003387379,-31.894554,1.3897103,-2.1360312,-0.24913886
0.10634391,-0.31622815,0.18223876,0.80110276,0.7497263,-5.157489,-2.3614624,7.1849837,-0.0033886563,-31.894203,1.3896116,-2.1354158,-0.24913158
0.10751252,-0.31622514,0.18220955,0.80109936,0.7497226,-5.1574397,-2.3614562,7.184387,-0.0033900444,-31.893873,1.3895129,-2.1347978,-0.24912402
0.108681135,-0.31622222,0.18218237,0.80109644,0.7497198,-5.1573744,-2.3614495,7.1838026,-0.0033912743,-31.89353,1.3894125,-2.134191,-0.24911739
0.10984975,-0.31621933,0.18215394,0.8010935,0.74971634,-5.157311,-2.361444,7.1831956,-0.0033925623,-31.893196,1.3893139,-2.13358,-0.24911028
0.11101837,-0.31621647,0.18212557,0.8010904,0.7497132,-5.157254,-2.3614373,7.1825976,-0.0033938473,-31.892874,1.3892152,-2.1329696,-0.24910273
0.11218698,-0.31621352,0.18209645,0.8010878,0.74970984,-5.1571994,-2.3614318,7.18201,-0.0033951798,-31.89256,1.3891155,-2.1323545,-0.24909508
0.11335559,-0.31621075,0.1820682,0.80108523,0.74970645,-5.157134,-2.3614256,7.1814194,-0.0033963323,-31.892237,1.3890156,-2.1317472,-0.24908811
0.11452421,-0.3162079,0.18203977,0.8010823,0.74970305,-5.157076,-2.3614197,7.180858,-0.003397574,-31.891893,1.3889163,-2.131137,-0.24908103
0.115692824,-0.31620517,0.18201229,0.80107975,0.74969965,-5.157027,-2.361413,7.1802588,-0.0033988093,-31.891596,1.3888164,-2.1305313,-0.24907379
0.11686144,-0.31620243,0.18198511,0.8010773,0.74969655,-5.156971,-2.3614073,7.179692,-0.0034000326,-31.891287,1.3887169,-2.1299298,-0.24906711
0.11803005,-0.31619963,0.18195853,0.8010736,0.7496937,-5.1569085,-2.3614008,7.179127,-0.0034012897,-31.890955,1.3886173,-2.12933,-0.2490599
0.119198665,-0.31619686,0.18193084,0.8010716,0.74969035,-5.156853,-2.3613951,7.17856,-0.0034024098,-31.890644,1.3885169,-2.128726,-0.24905281
0.12036728,-0.31619412,0.1819058,0.8010689,0.7496873,-5.1567955,-2.36139,7.178,-0.0034036278,-31.890348,1.3884184,-2.1281347,-0.24904656
0.1215359,-0.3161913,0.18187857,0.8010664,0.749684,-5.156744,-2.3613837,7.1774344,-0.0034047805,-31.890034,1.3883188,-2.1275342,-0.24903968
0.122704506,-0.3161886,0.18185282,0.80106324,0.7496806,-5.156692,-2.3613777,7.1768737,-0.003405953,-31.889734,1.3882174,-2.1269379,-0.24903265
0.12387312,-0.316186,0.18182653,0.80106074,0.74967784,-5.1566353,-2.361372,7.1763377,-0.0034071242,-31.889435,1.3881177,-2.1263437,-0.2490261
0.12504174,-0.3161833,0.18179947,0.8010582,0.74967456,-5.156578,-2.3613672,7.175774,-0.003408335,-31.889162,1.3880175,-2.125746,-0.24901877
0.12621035,-0.31618065,0.1817734,0.8010553,0.7496716,-5.1565266,-2.3613605,7.1752253,-0.003409392,-31.888851,1.3879172,-2.12515,-0.24901195
0.12737897,-0.31617793,0.181748,0.8010529,0.74966824,-5.156473,-2.3613544,7.1746984,-0.0034105335,-31.888548,1.3878174,-2.1245592,-0.24900562
0.12854758,-0.3161754,0.18172064,0.80105007,0.7496657,-5.1564198,-2.3613496,7.1741557,-0.0034117328,-31.888271,1.3877174,-2.1239612,-0.24899837
0.12971619,-0.31617278,0.18169728,0.8010475,0.7496622,-5.1563687,-2.3613439,7.173623,-0.0034127713,-31.887985,1.3876175,-2.1233797,-0.24899226
0.13088481,-0.3161702,0.18167081,0.8010447,0.74965906,-5.156311,-2.361338,7.1730843,-0.0034139305,-31.887705,1.3875154,-2.1227863,-0.24898535
0.13205342,-0.3161676,0.18164751,0.8010428,0.7496559,-5.1562605,-2.3613324,7.172559,-0.0034149592,-31.88742,1.3874162,-2.1222086,-0.24897906
0.13322204,-0.31616503,0.1816222,0.8010402,0.749653,-5.156211,-2.3613265,7.1720324,-0.0034160302,-31.887133,1.3873148,-2.1216207,-0.24897201
0.13439065,-0.31616244,0.18159747,0.801038,0.74965024,-5.156161,-2.3613222,7.1715155,-0.0034171983,-31.886873,1.3872143,-2.1210353,-0.24896602
0.13555926,-0.31615978,0.18157238,0.8010351,0.74964726,-5.156111,-2.3613164,7.1709995,-0.0034182454,-31.886593,1.3871136,-2.1204484,-0.24895917
0.13672788,-0.3161574,0.18154794,0.80103236,0.74964446,-5.156063,-2.361311,7.1704783,-0.0034193601,-31.886322,1.3870119,-2.1198666,-0.2489526
0.1378965,-0.3161549,0.18152297,0.8010307,0.74964136,-5.156015,-2.3613057,7.169975,-0.0034203774,-31.886047,1.3869126,-2.1192832,-0.24894592
0.13906512,-0.31615248,0.18149716,0.80102766,0.7496387,-5.155962,-2.3613007,7.1694527,-0.0034214251,-31.885796,1.3868115,-2.1186943,-0.24893893
0.14023373,-0.31614992,0.18147641,0.8010252,0.7496354,-5.1559105,-2.3612962,7.1689496,-0.0034224647,-31.885515,1.38671,-2.1181295,-0.24893333
0.14140233,-0.31614754,0.18145248,0.80102277,0.7496327,-5.155864,-2.36129,7.1684422,-0.003423488,-31.88526,1.386609,-2.1175513,-0.24892682
0.14257096,-0.31614512,0.18142888,0.8010203,0.74962956,-5.1558123,-2.3612847,7.1679397,-0.0034245243,-31.885017,1.3865076,-2.1169753,-0.2489205
0.14373957,-0.31614268,0.18140593,0.8010178,0.7496269,-5.1557674,-2.3612804,7.167447,-0.0034255001,-31.884768,1.3864063,-2.1164026,-0.24891426
0.14490817,-0.31614026,0.18138084,0.8010155,0.7496237,-5.155716,-2.3612754,7.166952,-0.0034265125,-31.88451,1.3863057,-2.115819,-0.24890727
0.1460768,-0.31613788,0.18135837,0.8010134,0.7496209,-5.1556673,-2.3612702,7.166468,-0.003427529,-31.884253,1.3862045,-2.1152508,-0.24890107
0.1472454,-0.3161356,0.18133703,0.80101097,0.74961805,-5.1556225,-2.3612661,7.1659865,-0.003428537,-31.884003,1.3861018,-2.1146874,-0.24889515
0.14841403,-0.31613326,0.1813136,0.8010088,0.7496157,-5.1555743,-2.3612607,7.1655087,-0.0034295542,-31.883747,1.3860011,-2.1141148,-0.24888909
0.14958264,-0.316131,0.18129104,0.8010065,0.7496128,-5.1555276,-2.3612556,7.165021,-0.0034304832,-31.883501,1.3858988,-2.113545,-0.24888287
0.15075125,-0.3161287,0.18126947,0.8010043,0.7496098,-5.1554794,-2.3612502,7.164544,-0.0034313253,-31.883272,1.3857976,-2.1129823,-0.24887677
0.15191987,-0.31612638,0.18124586,0.8010016,0.74960715,-5.155429,-2.3612466,7.1640677,-0.003432328,-31.883034,1.3856959,-2.1124077,-0.24887013
0.15308848,-0.3161241,0.18122518,0.8009993,0.74960434,-5.155385,-2.3612413,7.1635957,-0.003433269,-31.882805,1.3855934,-2.1118498,-0.24886441
0.1542571,-0.3161218,0.18120092,0.8009972,0.7496017,-5.1553445,-2.3612359,7.163135,-0.0034342036,-31.882559,1.3854911,-2.1112738,-0.24885799
0.15542571,-0.31611958,0.18117917,0.8009953,0.7495992,-5.1553,-2.3612318,7.1626744,-0.0034351563,-31.882326,1.385389,-2.1107125,-0.24885158
0.15659432,-0.31611726,0.18115819,0.8009933,0.74959624,-5.1552496,-2.3612268,7.1622095,-0.0034361146,-31.882107,1.3852874,-2.110155,-0.2488458
0.15776294,-0.31611505,0.1811358,0.8009908,0.74959356,-5.155205,-2.3612227,7.1617393,-0.0034369526,-31.881893,1.3851852,-2.1095872,-0.24883929
0.15893155,-0.31611302,0.18111339,0.8009884,0.74959075,-5.155164,-2.3612182,7.1612916,-0.003437889,-31.881643,1.3850831,-2.1090214,-0.24883302
0.16010016,-0.31611067,0.18109229,0.8009863,0.7495885,-5.155115,-2.3612132,7.1608405,-0.0034388362,-31.881422,1.3849806,-2.108464,-0.24882706
0.16126879,-0.31610855,0.18107352,0.8009844,0.74958575,-5.1550775,-2.3612087,7.160404,-0.003439652,-31.881205,1.3848788,-2.1079178,-0.24882165
0.1624374,-0.31610644,0.18105218,0.8009826,0.7495835,-5.155032,-2.3612049,7.159962,-0.0034405966,-31.880968,1.3847761,-2.107361,-0.24881566
0.16360602,-0.31610423,0.18102995,0.80098015,0.7495807,-5.154988,-2.3612008,7.159509,-0.0034415163,-31.880762,1.384674,-2.1067984,-0.24880925
0.16477463,-0.31610212,0.18100932,0.80097806,0.7495782,-5.1549425,-2.3611963,7.159077,-0.003442328,-31.880533,1.3845708,-2.1062431,-0.24880332
0.16594324,-0.31610003,0.18098891,0.8009762,0.7495752,-5.1548986,-2.3611915,7.1586213,-0.0034431636,-31.880327,1.384468,-2.1056902,-0.24879742
0.16711186,-0.31609797,0.1809662,0.8009741,0.74957275,-5.1548567,-2.361187,7.1581826,-0.0034440528,-31.880125,1.3843648,-2.1051261,-0.24879073
0.16828047,-0.31609595,0.18094718,0.8009721,0.7495704,-5.1548195,-2.3611827,7.1577563,-0.0034448432,-31.879911,1.3842622,-2.1045818,-0.24878521
0.16944909,-0.3160938,0.18092763,0.80097,0.7495678,-5.154772,-2.3611794,7.157328,-0.0034456972,-31.879694,1.3841592,-2.104033,-0.24877946
0.1706177,-0.31609166,0.18090755,0.80096847,0.7495653,-5.1547356,-2.3611746,7.156903,-0.0034466058,-31.87949,1.3840553,-2.1034844,-0.2487736
0.17178631,-0.31608966,0.18088788,0.8009662,0.74956256,-5.1546974,-2.36117,7.156481,-0.0034473347,-31.879301,1.3839526,-2.1029372,-0.24876776
0.17295493,-0.31608763,0.18086886,0.8009635,0.7495602,-5.1546555,-2.361166,7.156066,-0.0034481948,-31.879105,1.3838493,-2.1023922,-0.24876238
0.17412354,-0.31608564,0.1808483,0.80096185,0.7495574,-5.15462,-2.3611622,7.1556487,-0.0034489997,-31.878885,1.3837459,-2.101841,-0.24875593
0.17529215,-0.31608364,0.1808295,0.8009604,0.74955547,-5.154575,-2.3611581,7.1552267,-0.0034498044,-31.878704,1.383643,-2.101299,-0.2487503
0.17646077,-0.31608176,0.18080929,0.80095804,0.74955285,-5.154538,-2.3611536,7.1548195,-0.003450565,-31.878508,1.3835394,-2.1007519,-0.24874447
0.17762938,-0.3160797,0.18079022,0.8009561,0.74955034,-5.1544976,-2.3611495,7.1544237,-0.0034513916,-31.878319,1.3834364,-2.1002092,-0.24873845
